,Movies,Worldwide Collections
550,The Raft,"$47,269"
551,High on the Hog,"$45,696"
552,The Proposal,"$45,149"
553,Celebration,"$44,898"
554,What Is Democracy?,"$44,536"
555,Maze 2019 Re-release,"$44,381"
556,What You Gonna Do When the World's on Fire?,"$44,290"
557,Carmine Street Guitars,"$44,253"
558,Slut in a Good Way,"$44,240"
559,Our Time,"$42,107"
560,Union,"$41,656"
561,Why Don't You Just Die!,"$40,995"
562,Aniara,"$40,124"
563,Zilla and Zoe,"$39,003"
564,Shed of the Dead,"$38,901"
565,Batman Forever 2019 Re-release,"$38,387"
566,Memory: The Origins of Alien,"$37,272"
567,The Quiet One,"$37,010"
568,The Death of Dick Long,"$36,856"
569,Loro,"$35,613"
570,Ága,"$35,178"
571,Killer Unicorn,"$33,901"
572,Moonlight Sonata: Deafness in Three Movements,"$33,823"
573,An Acceptable Loss,"$32,427"
574,10E,"$32,413"
575,Shooting the Mafia,"$32,042"
576,Desolation Center,"$32,016"
577,Gift,"$31,588"
578,The Cat Rescuers,"$31,540"
579,Buddy,"$31,203"
580,Pasolini 2019 Re-release,"$30,757"
581,Los Reyes,"$30,418"
582,Lionel Richie at Glastonbury,"$30,123"
583,The Perfect Race,"$29,644"
584,The Ground Beneath My Feet,"$29,251"
585,Batman & Robin 2019 Re-release,"$28,793"
586,The Load,"$28,410"
587,El Norte 2019 Re-release,"$27,920"
588,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768"
589,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073"
590,Wrestle,"$26,597"
591,Donnybrook,"$26,284"
592,Strike,"$24,743"
593,Hyenas,"$24,672"
594,The Aspern Papers,"$24,554"
595,Chasing Einstein,"$24,057"
596,Robert the Bruce,"$23,425"
597,Ode to Joy,"$22,594"
598,The Sound of Silence,"$21,994"
599,Wicked Witches,"$21,600"
600,Round of Your Life,"$20,941"
601,General Magic,"$20,046"
602,The Gospel of Eureka,"$20,039"
603,Scandalous: The True Story of the National Enquirer,"$18,759"
604,Before Stonewall,"$18,724"
605,The Return of Martin Guerre 2019 Re-release,"$18,603"
606,"Phoenix, Oregon","$18,356"
607,The Cranes Are Flying,"$17,923"
608,Chained for Life,"$17,431"
609,Joseph Pulitzer: Voice of the People,"$16,970"
610,Virginia Minnesota,"$16,118"
611,Starfish,"$15,849"
612,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712"
613,The Competition 2019 Re-release,"$15,622"
614,Stuffed,"$15,532"
615,Between the Lines,"$15,383"
616,Funan,"$15,152"
617,Wrinkles the Clown,"$14,938"
618,ZZ Top: That Little Ol' Band from Texas,"$14,879"
619,My Son 2019 Re-release,"$14,450"
620,Combat Obscura,"$14,242"
621,Screwball,"$13,967"
622,Genesis,"$13,856"
623,This One's for the Ladies,"$13,688"
624,Rapid Response,"$13,294"
625,Off Season,"$12,544"
626,Bricked,"$12,201"
627,Zen for Nothing,"$12,107"
628,Imprisoned,"$12,050"
629,Quartet,"$12,042"
630,"Cassandro, The Exotico!","$11,897"
631,In Like Flynn,"$11,255"
632,Made Me Do It,"$11,151"
633,Suburban Birds,"$10,997"
634,If the Dancer Dances,"$10,912"
635,Vision Portraits,"$10,771"
636,When Lambs Become Lions,"$10,197"
637,Olivia,"$9,934"
638,Streetwise,"$9,904"
639,The Spanish Prisoner 2019 Re-release,"$9,589"
640,Fritz Lang's Indian Epic 2019 re-release,"$9,345"
641,A Dark Place,"$9,212"
642,Cracked Up,"$9,197"
